Iter,KLa3,KLa4,KLa5,Q,StopTime,SNH,S_I,S_S,X_I,X_S,X_H,X_A,X_STO,COD,Failure
1,240,240,84,22320,200,2.49330797041377,30,0.271741530111618,5.64036756145615,0.700442254582223,6.86065885364095,0.521175327906596,1.38776085921305,45.3821463869105,0
2,220.8,220.8,77.28,22320,200,3.93097,30,0.272204,5.55946,0.693399,6.97434,0.505089,1.46669,45.4712,0
3,203.14,203.14,71.1,22320,400,6.58845,30,0.271864,5.46934,0.685389,7.11262,0.46959,1.57082,45.5796,1
4,186.89,186.89,65.41,22320,400,10.7936,30,0.275101,5.38709,0.677728,7.25936,0.40809,1.68808,45.6954,1
5,171.93,171.93,60.18,22320,600,15.9007,30,0.289266,5.31256,0.668461,7.40683,0.330521,1.82092,45.8286,1
6,158.18,158.18,55.36,22320,800,21.166,30,0.33927,5.22993,0.656289,7.54804,0.248778,1.99293,46.0152,1
7,145.53,145.53,50.93,22320,800,26.3823,30,0.517676,5.13585,0.643382,7.67519,0.166168,2.22545,46.3637,1
8,133.88,133.88,46.86,22320,1000,31.4621,30,0.915983,5.03781,0.630805,7.79099,0.0836888,2.49062,46.9499,1
9,123.17,123.17,43.11,22320,1000,36.1964,30,1.31582,4.94372,0.619306,7.89035,0.00473174,2.76979,47.5437,1
10,113.32,113.32,39.66,22320,2000,36.3799,30,1.49813,4.78545,0.603092,7.92838,-6.09087e-13,3.22972,48.0448,1
11,104.25,104.25,36.49,22320,2000,36.3589,30,1.68775,4.6083,0.586928,7.86046,-5.6102e-11,3.91672,48.6602,1
