Duration	Energy Reduction	Total Energy	SNH4 Norm Max
0	0	0	0
0	0.2	0	SNH4max(Total E = 0)
0	0.4	0	SNH4max(Total E = 0)
0	0.6	0	SNH4max(Total E = 0)
0	0.8	0	SNH4max(Total E = 0)
0	1	0	SNH4max(Total E = 0)
0.2	0.2	0.04	SNH4max(Total E = 0.04)
0.2	0.4	0.08	SNH4max(Total E = 0.08)
0.2	0.6	0.12	SNH4max(Total E = 0.12)
0.2	0.8	0.16	SNH4max(Total E = 0.16)
0.2	1	0.2	SNH4max(Total E = 0.2)
0.4	0.2	0.08	SNH4max(Total E = 0.08)
0.4	0.4	0.16	SNH4max(Total E = 0.16)
0.4	0.6	0.24	SNH4max(Total E = 0.24)
0.4	0.8	0.32	SNH4max(Total E = 0.32)
0.4	1	0.4	SNH4max(Total E = 0.4)
0.6	0.2	0.12	SNH4max(Total E = 0.12)
0.6	0.4	0.24	SNH4max(Total E = 0.24)
0.6	0.6	0.36	SNH4max(Total E = 0.36)
0.6	0.8	0.48	SNH4max(Total E = 0.48)
0.6	1	0.6	SNH4max(Total E = 0.6)
0.8	0.2	0.16	SNH4max(Total E = 0.16)
0.8	0.4	0.32	SNH4max(Total E = 0.32)
0.8	0.6	0.48	SNH4max(Total E = 0.48)
0.8	0.8	0.64	SNH4max(Total E = 0.64)
0.8	1	0.8	SNH4max(Total E = 0.8)
1	0.2	0.2	SNH4max(Total E = 0.2)
1	0.4	0.4	SNH4max(Total E = 0.4)
1	0.6	0.6	SNH4max(Total E = 0.6)
1	0.8	0.8	SNH4max(Total E = 0.8)
1	1	1	SNH4max(Total E = 1)
