S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,TSS,Q,EQIvecinst,mR,tagS,tagF,series_diff,tagR
4355.62567531771,16.6637935898029,782.223489198071,57.5112168382835,846.589455269358,53.3404183492165,28.7817612803714,1442.98885125805,128.948266722217,597.418862749818,1514.25714223452,2497992.11555114,26020.7512035631,,,,,0,0,,0
4437.39116919854,16.4373660557731,791.113325520234,58.1083934859086,859.244581493503,54.1604980881219,36.8909521645688,1464.34247879478,119.607191004248,610.751274375009,1536.00999467587,2501130.68279063,26053.4446124498,,,,,0,0,,0
4557.8264439815,16.3752633492797,809.448245824277,59.5179120047907,883.071182897024,55.6806379460119,47.5380694194775,1495.73206973332,111.132994398362,629.756701779484,1577.81233291773,2531513.82932231,26369.9357221554,,,,,0,0,,0
4684.10638813779,16.3551391843556,833.072720273926,61.332230278638,911.892995227205,57.5090449231855,60.9550888594733,1525.64014522036,102.572543962322,650.001931027591,1628.6250455733,2572481.05541427,26796.6776604679,,,,,0,0,,0
4715.64167817059,16.0414345962357,843.39562617582,62.1150510366656,924.636617966035,58.3139780969929,75.6931237175182,1521.12196164833,92.1531794036226,657.493114876335,1650.80140195697,2568004.40818924,26750.0459186865,,,,,0,0,,0
4545.80854100621,15.1094660008377,817.32291562128,60.1022358808919,896.059720247551,56.5030626379743,88.1711421303795,1449.4000593388,79.0705629416087,637.012318786733,1599.24434188233,2455614.14735673,25579.3140350124,,,,,0,0,,0
4314.89721724304,14.0532918466551,776.409786859088,56.8628428265344,850.428977980242,53.6096545296943,98.6118675629508,1357.86580698711,66.892110083789,607.765664200467,1517.2435365626,2307444.6443918,24035.8817123271,,,,,0,0,,0
4089.15790253602,13.0809334788898,732.453711098625,53.3004962403941,801.248286499213,50.4884033754881,107.594876442949,1268.63134775622,56.6618724283472,578.935828649869,1428.89709246268,2159213.4068318,22491.8063212055,,,,,0,0,,0
3909.15887192553,12.3048151121943,694.221115717473,50.1007638675946,758.390198513796,47.7634427555319,116.196486792759,1194.50997316054,48.5654398560006,556.28827040897,1351.83232646694,2034534.36389356,21193.0662905964,,,,,0,0,,0
3810.98866080922,11.8196830848459,669.856971051117,47.8841950637256,730.814529422093,45.9993099177811,126.148284069871,1145.8631940104,42.5395531959477,545.101605662601,1302.03462131761,1954276.4309267,20357.0461554124,,,,,0,0,,0
3748.34549742189,11.4665357434333,652.261476232666,46.154741712765,710.747621628932,44.7060494016811,136.678830563541,1107.82170555108,37.6367936400759,538.918567274264,1265.65321666044,1895520.43705026,19745.0045526428,,,,,0,0,,0
3694.60661008753,11.1565933674226,637.134454694614,44.6134716474319,693.481332962592,43.5876171728016,147.040506105177,1072.23413139809,33.4070042613754,533.967434911131,1234.30413794034,1844925.00787789,19217.9688320963,,,,,0,0,,0
3650.69841278902,10.8887203116117,624.666458173068,43.2757112967446,679.203334549977,42.6562385691436,157.285253878436,1039.37588287417,29.7664319031116,530.392230950424,1208.32065142324,1802730.87549442,18778.4466196652,,,,,0,0,,0
3625.98092529533,10.6873011785575,616.427330315513,42.2478165413326,669.595596604669,42.0176794439313,167.909288817887,1011.79289863435,26.6981833699793,529.577473699032,1190.69030389424,1773202.17069136,18470.8559447352,,,,,0,0,,0
3609.89652914552,10.5179707737113,610.534411489038,41.3952501347678,662.58881994174,41.5420299059443,178.553662996508,986.342445922966,24.0392571595203,530.013649245755,1177.72581130026,1750726.74369706,18236.7369135442,,,,,0,0,,0
3596.44064754182,10.3612322051206,605.814407748664,40.633760550671,656.894175206131,41.1486822192174,188.941304411991,961.365343269841,21.70045824604,530.825759539846,1167.12987009433,1731915.7352298,18040.7889085782,,,,,0,0,,0
3552.7611593886,10.1219064495779,596.391031305232,39.5657641027704,646.135807674152,40.4389789750599,197.17107568892,928.429215013978,19.4747356153145,527.123022834132,1147.56819032242,1700229.02423987,17710.7190025308,,,,,0,0,,0
3437.38822750754,9.68439779243519,574.632745264579,37.6877651893507,622.062048213522,38.8984407179661,200.358254133636,877.898970534815,17.190519735108,512.602715366486,1104.38295893897,1634652.79565857,17027.6332881411,,,,,0,0,,0
3297.75826883848,9.18620191001004,548.042006571849,35.5034024899933,592.816049770856,37.038369064272,200.691791710331,823.234565464857,15.1314109062961,494.174701809928,1052.03662238359,1557048.96338853,16219.2600352382,,,,,0,0,,0
3162.05383320788,8.70651945080256,521.425906730404,33.3323496386606,563.599336904483,35.1842539460498,199.850343018803,771.794146984188,13.3907721633209,476.029465833012,999.764589954586,1480874.64259352,15425.7775270439,,,,,0,0,,0
3036.72646678312,8.26228177000769,496.165383061738,31.2678941262424,535.897608622333,33.4285848472097,198.424899486797,724.985683557243,11.9374074219634,459.166104529907,950.205483188761,1409614.07706799,14683.4799694849,,,,,0,0,,0
2921.47782193579,7.85166863289896,472.510793779065,29.3291938087506,509.973497478979,31.7873201728499,196.597339450456,682.480623197685,10.7184879796053,443.577101534874,903.827242848397,1343573.11650925,13995.5532969204,,,,,0,0,,0
2815.58723484593,7.47190300618173,450.565657527287,27.5247209681247,485.931929539134,30.2665729622448,194.493855489029,643.86685327482,9.69042685672047,429.187561994949,860.81705713758,1282737.08997137,13361.844687226,,,,,0,0,,0
2718.22411526196,7.12008321409828,430.331915755353,25.8551712204952,463.769118923591,28.8656990244745,192.205431168643,608.732496252038,8.81808217063936,415.901566461706,821.168158540326,1226898.54195864,12780.1931454257,,,,,0,0,,0
2705.41648312522,6.99238447836961,424.06525325153,25.0484452419225,456.677399441504,28.4048290498453,195.429862758737,593.380147393153,8.30362554614568,415.441679333095,808.233448243045,1210663.29677558,12611.0760080331,,,,,0,0,,0
2906.72317896065,7.4115964914865,452.620400718814,26.2948040811679,487.0621845707,30.2745902714082,214.449469129973,623.74815687862,8.45000565494038,448.000706035348,861.638144018705,1292750.52135703,13466.1512641603,,,,,0,0,,0
3223.78926513024,8.10963155093677,501.683530999263,28.7064143006343,539.445367629447,33.5091477263018,243.229528222301,675.220571505782,8.86483438455017,498.835888943256,953.967034649434,1431003.51639489,14906.2866291405,,,,,0,0,,0
3571.7254490944,8.86533562949016,559.534781240796,31.6017182318449,601.185598314176,37.3219109427716,276.035282528743,727.961728526716,9.27519432856582,555.049651373233,1062.87156375648,1590559.59436098,16568.3291078666,,,,,0,0,,0
3960.89316045922,9.70251032634589,629.694042308176,35.1943473166727,676.046163097524,41.9466087366913,314.027006626354,782.859471652784,9.703120915869,618.387436510959,1195.03385041954,1779796.50962385,18539.5469752822,,,,,0,0,,0
4444.12832645061,10.7470294486575,723.68317284411,40.1473081108102,776.368733085258,48.1491497696282,362.021945649818,848.313405112158,10.2628122635876,697.324587326566,1372.3097625476,2028624.49801695,21131.505187715,,,,,0,0,,0
4971.48078770656,11.8731551130658,837.921504623635,46.2838737374756,898.276764436507,55.6897142338943,416.76912268029,912.122771249309,10.8223776645277,784.315326734266,1587.89510730107,2323251.85198414,24200.5401247467,,,,,0,0,,0
2648.07869481576,6.24808579045516,466.651096110151,25.7307438225508,499.927072086776,30.9861204027111,228.724748734163,464.61670918297,5.44244312883263,420.189146711438,883.857513074395,1276720.59361445,13299.1728501747,,,,,0,0,,0
