Time (days),Final Effluent COD - Total,Final Effluent BOD - Total Carbonaceous,Final Effluent N - Total Kjeldahl Nitrogen,Final Effluent P - Total P,Final Effluent pH,Final Effluent Total suspended solids,Final Effluent Volatile suspended solids,Final Effluent Gas - Dissolved oxygen,Final Effluent P - Soluble phosphate,Final Effluent N - Ammonia,Final Effluent N - Nitrate,Final Effluent N - Nitrite,Final Effluent Alkalinity,Final Effluent Flow,PST x3 COD - Total,PST x3 BOD - Total Carbonaceous,PST x3 N - Total Kjeldahl Nitrogen,PST x3 P - Total P,PST x3 pH,PST x3 Total suspended solids,PST x3 Volatile suspended solids,PST x3 Element HRT,PST x3 Gas - Dissolved oxygen,PST x3 P - Soluble phosphate,PST x3 N - Ammonia,PST x3 N - Nitrate,PST x3 N - Nitrite,PST x3 Alkalinity,PST x3 Flow,ML Recycle COD - Total,ML Recycle BOD - Total Carbonaceous,ML Recycle N - Total Kjeldahl Nitrogen,ML Recycle N - Total Kjeldahl Nitrogen (U),ML Recycle P - Total P,ML Recycle pH,ML Recycle Total suspended solids,ML Recycle Volatile suspended solids,ML Recycle Gas - Dissolved oxygen,ML Recycle P - Soluble phosphate,ML Recycle N - Ammonia,ML Recycle N - Ammonia (U),ML Recycle N - Nitrate,ML Recycle N - Nitrite,ML Recycle Alkalinity,ML Recycle Flow,ML Recycle Flow (S),FST x5 COD - Total,FST x5 BOD - Total Carbonaceous,FST x5 N - Total Kjeldahl Nitrogen,FST x5 P - Total P,FST x5 pH,FST x5 Total suspended solids,FST x5 Total suspended solids (U),FST x5 Volatile suspended solids,FST x5 Element HRT,FST x5 Gas - Dissolved oxygen,FST x5 P - Soluble phosphate,FST x5 N - Ammonia,FST x5 N - Nitrate,FST x5 N - Nitrite,FST x5 Alkalinity,FST x5 Flow,AERZ4 x2 (45) COD - Total,AERZ4 x2 (45) BOD - Total Carbonaceous,AERZ4 x2 (45) N - Total Kjeldahl Nitrogen,AERZ4 x2 (45) P - Total P,AERZ4 x2 (45) pH,AERZ4 x2 (45) Total suspended solids,AERZ4 x2 (45) Volatile suspended solids,AERZ4 x2 (45) Element HRT,AERZ4 x2 (45) Gas - Dissolved oxygen,AERZ4 x2 (45) P - Soluble phosphate,AERZ4 x2 (45) N - Ammonia,AERZ4 x2 (45) N - Nitrate,AERZ4 x2 (45) N - Nitrite,AERZ4 x2 (45) Alkalinity,AERZ4 x2 (45) Flow,AXZ1 x2 COD - Total,AXZ1 x2 BOD - Total Carbonaceous,AXZ1 x2 N - Total Kjeldahl Nitrogen,AXZ1 x2 P - Total P,AXZ1 x2 pH,AXZ1 x2 Total suspended solids,AXZ1 x2 Volatile suspended solids,AXZ1 x2 Element HRT,AXZ1 x2 Gas - Dissolved oxygen,AXZ1 x2 P - Soluble phosphate,AXZ1 x2 N - Ammonia,AXZ1 x2 N - Nitrate,AXZ1 x2 N - Nitrite,AXZ1 x2 Alkalinity,AXZ1 x2 Flow
42106,0,0,0,0,7.099267,0,0,0.000002,3.207879,10.201807,0.010458,3.301636,0.050119,58429,223.73579,110.33855,25.040839,4.624079,7.300675,75.091322,59.814285,3.348462,0.103632,2.452033,19.437581,0.477428,0.044934,6.036597,62329,2705.014,929.32717,172.45415,172.45415,883.79464,6.530682,6768.0985,1799.2967,1,1,1.028378,1.028378,7.316941,0.731694,4.274176,116329,54000,38.437386,8.201907,2.807641,2.304347,6.530682,10,14089.897,2.658497,4.34194,1,1,1.028378,7.316941,0.731694,4.274176,58429,2705.014,929.32717,172.45415,864.83801,6.530682,6664.7567,1799.2967,0.187684,2,1,1.028378,7.316941,0.731694,4.274176,170329,2868.3663,1012.1143,173.64871,836.43524,6.665162,6498.2415,1850.4331,0.204874,0,20.764357,3.90847,0.1,0.005,5.016868,170329
42106.042,37.843284,7.992661,2.768363,2.276499,6.565412,6.356234,2.311276,0.954307,1.564361,1.027871,7.322268,0.73196,4.291885,48679,207.17507,101.8164,23.620319,5.030206,7.301308,71.804046,55.684305,3.967032,0.10353,2.843756,18.51995,0.512423,0.055668,6.072966,52579,2713.8888,932.6048,169.94562,169.94562,857.16138,7.437128,6627.2673,1812.37,1.033257,4.511439,0.347314,0.347314,8.589449,0.274826,4.140611,106579,54000,37.843284,7.992661,2.768363,2.276499,6.565412,6.356234,11133.391,2.311276,4.754234,0.954307,1.564361,1.027871,7.322268,0.73196,4.291885,48679,2760.5136,960.56843,170.86606,850.71759,7.417995,6604.1323,1840.3699,0.19908,1.933273,9.29845,1.05065,4.502538,0.659004,4.452638,160579,2504.1595,866.97525,162.34733,791.55779,6.945271,6103.7723,1661.464,0.217314,0.002072,4.013428,7.241611,2.223612,0.198127,5.130452,160579
42106.083,37.864585,7.945028,2.784535,2.806665,6.587018,6.937956,2.544371,0.837065,2.033972,1.029349,7.340009,0.732617,4.305236,40729,192.78219,94.253248,23.474359,5.846569,7.31487,69.410051,52.20674,4.670548,0.11382,3.593688,18.699695,0.524103,0.071068,6.144432,44629,2682.2701,924.98656,166.92035,166.92035,841.5913,7.506447,6516.4585,1791.3384,0.9654,5.1865,0.392955,0.392955,5.723301,0.475927,4.323824,98629,54000,37.864585,7.945028,2.784535,2.806665,6.587018,6.937956,11134.551,2.544371,5.153227,0.837065,2.033972,1.029349,7.340009,0.732617,4.305236,40729,2595.6336,894.26795,163.92882,821.64901,7.501356,6343.184,1732.1447,0.209449,2.040711,4.958057,2.614034,3.291516,1.20503,4.635348,152629,2591.8261,896.57236,166.47114,809.60465,6.979347,6267.3462,1723.8661,0.228633,0.002071,5.280228,6.652925,1.151722,0.13886,5.195253,152629
42106.125,37.002526,7.508875,2.760486,3.378247,6.616472,6.538751,2.418382,0.664043,2.654075,1.031046,7.36616,0.728179,4.320976,31979,182.81645,88.879004,23.982332,6.673795,7.326773,68.470715,49.898324,5.803265,0.128461,4.288858,19.356723,0.531146,0.104532,6.210495,35879,2567.3911,878.77893,160.70512,160.70512,817.36494,7.505799,6306.1316,1715.7927,1.028648,4.194781,0.682246,0.682246,5.46148,1.218405,4.346396,89879,54000,37.002526,7.508875,2.760486,3.378247,6.616472,6.538751,11361.025,2.418382,5.677665,0.664043,2.654075,1.031046,7.36616,0.728179,4.320976,31979,2580.8854,885.4557,162.90561,817.11841,7.509045,6311.0562,1723.8707,0.222187,2.008632,4.786172,2.412896,3.260375,1.294422,4.653749,143879,2740.3431,944.55378,175.38749,857.89151,7.019697,6644.234,1827.244,0.242537,0.00243,5.370191,6.152195,0.998486,0.258367,5.186759,143879
42106.167,35.765981,6.904058,2.709812,3.864175,6.654013,5.71809,2.125297,0.502912,3.232808,1.02885,7.371814,0.716804,4.33446,24929,177.58342,85.840696,24.848829,7.590388,7.337735,68.850319,48.856985,7.212649,0.146629,5.008077,20.280952,0.560514,0.141638,6.273422,28829,2604.2083,888.68472,162.70679,162.70679,827.77265,7.519311,6391.4155,1741.8382,1.043353,4.370794,0.365893,0.365893,5.691248,0.957365,4.361284,82829,54000,35.765981,6.904058,2.709812,3.864175,6.654013,5.71809,10832.826,2.125297,6.184799,0.502912,3.232808,1.02885,7.371814,0.716804,4.33446,24929,2693.4081,921.89908,169.14845,851.04838,7.520735,6580.8322,1801.128,0.233635,2.017118,4.901836,1.606,3.558477,1.205122,4.610852,136829,2826.4624,969.97958,180.42131,890.18065,7.09686,6884.4822,1887.8185,0.255034,0.002756,5.821582,5.482699,1.113461,0.260715,5.142191,136829
42106.208,34.560551,6.305707,2.652959,4.27225,6.695726,4.943667,1.842103,0.374591,3.727216,1.023208,7.347247,0.703512,4.345828,20279,174.70741,83.956668,26.099445,8.55012,7.348284,70.132211,48.473924,8.588375,0.166022,5.72326,21.487659,0.608543,0.164234,6.334971,24179,2711.4849,922.91785,169.29858,169.29858,861.76278,7.540623,6656.393,1815.2706,1.037677,4.626722,0.179637,0.179637,6.030857,0.275855,4.397091,78179,54000,34.560551,6.305707,2.652959,4.27225,6.695726,4.943667,9724.4622,1.842103,6.571979,0.374591,3.727216,1.023208,7.347247,0.703512,4.345828,20279,2790.3617,951.8495,174.75239,884.60469,7.533764,6835.2345,1867.7828,0.241854,2.037494,5.312986,0.977134,3.906072,0.983747,4.573194,132179,2777.369,949.314,177.09726,877.12763,7.196621,6777.8756,1856.3856,0.264006,0.003115,6.134228,4.957463,1.426052,0.158528,5.089455,132179
42106.25,33.486333,5.758506,2.597416,4.628576,6.739152,4.330564,1.615966,0.275749,4.151581,1.015207,7.296088,0.691902,4.355982,17579,174.65529,83.478324,27.499872,9.539013,7.358261,72.256056,48.852514,9.65801,0.185267,6.436344,22.798113,0.662308,0.175409,6.394718,21479,2778.5671,942.7104,173.54082,173.54082,885.6257,7.54454,6834.6488,1861.3295,1.026029,5.222496,0.134645,0.134645,5.873957,0.052324,4.433398,75479,54000,33.486333,5.758506,2.597416,4.628576,6.739152,4.330564,9218.0817,1.615966,6.819877,0.275749,4.151581,1.015207,7.296088,0.691902,4.355982,17579,2792.2843,949.04593,174.70047,887.98135,7.545443,6854.0253,1869.9794,0.246897,2.038224,5.842883,0.658219,4.117241,0.706608,4.556886,129479,2756.1788,938.72018,175.69615,872.28049,7.295514,6736.3337,1843.2621,0.269511,0.003371,6.409539,4.681429,1.662227,0.124907,5.051523,129479
42106.292,32.523689,5.250402,2.543124,4.96623,6.78342,3.890977,1.453143,0.198159,4.537939,1.004529,7.220168,0.682619,4.36593,16679,177.27415,84.365694,28.962185,10.482921,7.367162,74.893305,49.906283,10.076327,0.202521,7.113638,24.13658,0.706578,0.18429,6.449865,20579,2770.0957,936.76822,173.05395,173.05395,884.91789,7.545011,6822.6112,1856.0795,1.016794,5.863662,0.123899,0.123899,5.608364,0.035698,4.454476,74579,54000,32.523689,5.250402,2.543124,4.96623,6.78342,3.890977,9048.1064,1.453143,6.906719,0.198159,4.537939,1.004529,7.220168,0.682619,4.36593,16679,2758.1302,934.31337,172.54345,878.65619,7.553859,6777.0055,1847.5113,0.248625,2.023779,6.290018,0.54784,4.23009,0.548687,4.548556,128579,2737.0482,929.16541,174.57438,867.93967,7.37556,6698.5266,1830.999,0.271397,0.003527,6.702401,4.645309,1.778621,0.132444,5.036099,128579
42106.333,31.59492,4.729445,2.484043,5.349671,6.829702,3.670383,1.370721,0.132562,4.94577,0.987783,7.105912,0.6742,4.377591,18829,182.59518,86.714037,30.419634,11.239486,7.373757,77.677498,51.564739,9.131493,0.214466,7.670637,25.418572,0.731071,0.189267,6.492101,22729,2740.6925,924.07368,171.22904,171.22904,876.63515,7.54539,6753.9727,1836.4625,1.009331,6.417223,0.121869,0.121869,5.509125,0.034598,4.458636,76729,54000,31.59492,4.729445,2.484043,5.349671,6.829702,3.670383,9035.6855,1.370721,6.702824,0.132562,4.94577,0.987783,7.105912,0.6742,4.377591,18829,2727.2234,921.08566,170.66445,869.90662,7.55693,6705.4601,1826.9599,0.244536,2.004629,6.704697,0.573918,4.287489,0.542924,4.542527,130729,2673.9664,905.35917,171.02674,848.33505,7.427467,6544.1293,1788.3297,0.266934,0.003485,7.027726,5.070259,1.805,0.125157,5.059794,130729
42106.375,30.608291,4.114686,2.403837,5.891104,6.886419,3.854283,1.434341,0.07351,5.466265,0.952806,6.907317,0.661853,4.394981,26679,192.89941,91.816129,31.712515,11.56247,7.375332,80.535336,54.290139,6.80256,0.213866,7.947552,26.451104,0.716386,0.184427,6.503972,30579,2700.4843,908.15977,168.70263,168.70263,864.28217,7.541818,6655.2865,1809.3583,0.99444,6.909955,0.136687,0.136687,5.607727,0.053111,4.447184,84579,54000,30.608291,4.114686,2.403837,5.891104,6.886419,3.854283,9316.6313,1.434341,6.050645,0.07351,5.466265,0.952806,6.907317,0.661853,4.394981,26679,2660.5399,896.33016,166.76989,848.76358,7.550817,6539.6629,1781.9591,0.230684,1.980127,7.113855,0.911447,4.151454,0.771035,4.556084,138579,2549.6684,862.13156,164.26276,806.85685,7.44786,6223.3734,1703.0209,0.251813,0.003079,7.443936,6.34775,1.609687,0.107821,5.152233,138579
